Season,State,Annual_Rainfall,Pesticide,Yield,Region,Soil_Type,Crop,Rainfall_mm,Temperature_Celsius at 2 Meters,Specific Humidity at 2 Meters (g/kg),Relative Humidity at 2 Meters (%),Fertilizer_Used,Irrigation_Used,Weather_Condition,Days_to_Harvest,Yield_tons_per_hectare
Kharif     ,Puducherry,1434.5875,19.8,1.28,South,Loam,Rice,395.8511176,22.50322477,17.61,84.03,FALSE,TRUE,Cloudy,107,3.323570709
Kharif     ,Puducherry,1434.5875,3.63,2.64,South,Clay,Wheat,330.0822098,36.9685358,17.61,86.04,FALSE,TRUE,Rainy,65,3.687900512
Summer     ,Puducherry,1434.5875,6.6,2.55,South,Chalky,Barley,340.0302833,29.60081836,17.7,85.98,TRUE,TRUE,Sunny,75,5.428839301
Kharif     ,Puducherry,1434.5875,87.78,10.90333333,West,Loam,Maize,496.2017742,17.28478358,18.09,86.02,TRUE,FALSE,Rainy,149,4.235346788
Kharif     ,Puducherry,1434.5875,3.63,0.45,North,Silt,Wheat,108.7446859,18.12721842,18.3,84.48,FALSE,TRUE,Cloudy,131,1.964291742
Kharif     ,Puducherry,1434.5875,52.47,0.466666667,South,Silt,Wheat,582.9431196,31.5057189,17.8,85.54,TRUE,TRUE,Cloudy,96,6.584207795
Whole Year ,Puducherry,1434.5875,691.35,9838.6475,West,Loam,Cotton,861.8762429,20.6589245,17.94,85.16,FALSE,TRUE,Rainy,134,6.102551967
Summer     ,Puducherry,1434.5875,2.64,1,West,Chalky,Maize,404.6072894,36.74421329,18.03,84.92,FALSE,FALSE,Cloudy,75,3.766886555
Kharif     ,Puducherry,1434.5875,0.33,2,East,Chalky,Rice,893.7357979,17.99384264,18.01,86.09,FALSE,FALSE,Cloudy,105,4.416156547
Summer     ,Puducherry,1434.5875,0.33,2,West,Chalky,Maize,584.7446682,15.6891195,18.15,86.03,FALSE,FALSE,Rainy,67,3.56855646
Kharif     ,Puducherry,1434.5875,5.28,1.88,South,Silt,Soybean,617.9635162,29.76773154,18.19,86.1,TRUE,TRUE,Sunny,141,5.6045653
Rabi       ,Puducherry,1434.5875,93.06,1.195,South,Clay,Wheat,448.4029592,35.62008092,18.38,85.51,TRUE,FALSE,Rainy,72,3.913555316
Summer     ,Puducherry,1434.5875,6.93,1.47,West,Silt,Barley,725.20202,23.6793099,18.18,84.23,FALSE,FALSE,Sunny,90,4.200241364
Summer     ,Puducherry,1434.5875,0.33,2,South,Sandy,Barley,648.941581,23.39823669,18.2,85.42,FALSE,TRUE,Sunny,108,4.998328091
Kharif     ,Puducherry,1434.5875,0.33,1,West,Peaty,Barley,215.5333021,16.04067038,18.7,84.98,FALSE,FALSE,Cloudy,147,0.856060751
Rabi       ,Puducherry,1434.5875,0.99,0.25,South,Chalky,Cotton,349.6684559,36.50127872,18.24,84.67,FALSE,TRUE,Rainy,111,3.613387376
Summer     ,Puducherry,1434.5875,432.3,0.495,East,Clay,Barley,969.7790996,32.36589707,18.31,83.44,TRUE,TRUE,Sunny,133,8.772365406
Rabi       ,Puducherry,1434.5875,0.33,7,North,Silt,Rice,253.423098,27.24905644,18.4,83.65,TRUE,TRUE,Sunny,137,4.932934391
Rabi       ,Puducherry,1434.5875,6.6,1,East,Sandy,Rice,885.8325292,35.81188884,18.22,83.45,FALSE,TRUE,Sunny,93,6.288908056
Kharif     ,Puducherry,1434.5875,0.33,1,East,Chalky,Rice,574.5094177,39.25988144,18.37,85.48,FALSE,TRUE,Cloudy,122,5.08669322
Rabi       ,Puducherry,1434.5875,6.6,1,North,Chalky,Rice,480.5535387,29.56814903,18.28,84.85,TRUE,TRUE,Cloudy,115,5.941085509
Kharif     ,Puducherry,1434.5875,3.96,2.75,South,Loam,Barley,191.6197713,38.45775004,18.35,83.52,FALSE,FALSE,Cloudy,136,1.56274325
Summer     ,Puducherry,1434.5875,3.3,2.5,North,Sandy,Rice,213.6168538,30.14629839,18.49,83.4,FALSE,TRUE,Sunny,78,1.841843421
Kharif     ,Puducherry,1434.5875,1398.21,3.046666667,West,Chalky,Soybean,815.8171822,26.1201034,18.41,82.11,FALSE,FALSE,Sunny,99,4.11643057
Rabi       ,Puducherry,1434.5875,3406.92,2.856666667,North,Loam,Rice,557.7382152,25.01172591,18.34,82.79,FALSE,FALSE,Rainy,137,3.059927959
Summer     ,Puducherry,1434.5875,664.95,2.49,East,Silt,Wheat,852.6256512,38.54121592,18.43,85.07,TRUE,FALSE,Rainy,148,5.288808728
Kharif     ,Puducherry,1434.5875,0.99,0.67,North,Clay,Maize,636.8940597,34.06763261,18.43,84.12,FALSE,TRUE,Sunny,96,4.826607755
Rabi       ,Puducherry,1434.5875,1.98,0.67,South,Sandy,Rice,498.2474171,17.61685044,18.22,84.54,TRUE,TRUE,Sunny,131,6.159840545
Summer     ,Puducherry,1434.5875,37.29,0.58,East,Peaty,Wheat,164.8456334,30.59540878,18.38,84.63,TRUE,FALSE,Sunny,134,2.956369819
Kharif     ,Puducherry,1434.5875,643.17,147.66,West,Loam,Wheat,331.438377,15.14427418,18.37,85.43,TRUE,TRUE,Rainy,98,4.143000139
Kharif     ,Puducherry,1434.5875,80.85,18.725,South,Clay,Barley,915.7983179,17.80014157,18.19,84.36,FALSE,FALSE,Rainy,115,5.814277695
Rabi       ,Puducherry,1434.5875,0.33,24,East,Sandy,Rice,680.8700389,34.19968487,18.27,83.43,FALSE,TRUE,Rainy,81,4.743826519
Kharif     ,Puducherry,1434.5875,0.66,1.5,West,Loam,Cotton,430.3370278,15.43935318,18.58,84.39,FALSE,FALSE,Rainy,94,2.386794263
Rabi       ,Puducherry,1434.5875,1.32,1.5,South,Chalky,Barley,804.088145,24.49708519,18.67,84.24,TRUE,FALSE,Sunny,124,5.784323233
Kharif     ,Puducherry,1434.5875,4.95,0.8,West,Peaty,Barley,115.279132,23.08755046,18.5,85.33,FALSE,FALSE,Rainy,138,0.365200356
Rabi       ,Puducherry,1434.5875,73.92,0.83,North,Chalky,Rice,216.9791089,31.14474142,18.51,85.45,FALSE,FALSE,Sunny,118,1.480212974
Summer     ,Puducherry,1434.5875,274.56,0.563333333,North,Peaty,Rice,881.9655113,31.41096616,17.72,85.77,TRUE,FALSE,Sunny,65,6.941396967
Rabi       ,Assam,1743.4,22670.67,0.878148148,West,Sandy,Wheat,670.7822276,27.16228869,17.54,85.76,FALSE,TRUE,Cloudy,126,5.265471025
Kharif     ,Assam,1743.4,1880.01,0.774074074,North,Clay,Wheat,760.8341551,25.20855811,17.81,84.36,TRUE,FALSE,Cloudy,70,5.298112861
Whole Year ,Assam,1743.4,15695.79,14.98222222,West,Sandy,Barley,101.8449317,20.81266692,17.61,84.03,TRUE,TRUE,Sunny,63,3.462672838
Whole Year ,Assam,1743.4,1203.51,1.597777778,South,Sandy,Rice,600.4867722,32.71277399,17.61,86.04,FALSE,FALSE,Sunny,79,3.86560714
Kharif     ,Assam,1743.4,337.92,0.515833333,East,Clay,Wheat,771.2740426,21.5679503,17.7,85.98,FALSE,FALSE,Rainy,78,4.76819098
Whole Year ,Assam,1743.4,6834.3,7299.402593,West,Chalky,Rice,239.5524635,19.49766642,18.09,86.02,TRUE,TRUE,Sunny,73,4.282765954
Kharif     ,Assam,1743.4,405.9,0.595652174,East,Peaty,Wheat,794.2258255,22.17735054,18.3,84.48,TRUE,FALSE,Sunny,120,5.596994068
Whole Year ,Assam,1743.4,6443.58,0.655185185,East,Peaty,Wheat,526.0539236,32.4911362,17.8,85.54,TRUE,FALSE,Rainy,61,5.164184666
Whole Year ,Assam,1743.4,5391.54,7.513333333,West,Silt,Maize,455.8006773,20.04816452,17.94,85.16,FALSE,TRUE,Cloudy,94,3.901156415
Rabi       ,Assam,1743.4,601.59,0.5328,North,Peaty,Maize,169.4723443,33.53345715,18.03,84.92,TRUE,FALSE,Rainy,123,2.556731409
Kharif     ,Assam,1743.4,21634.8,9.125555556,South,Silt,Rice,616.3639125,27.69308536,18.01,86.09,TRUE,FALSE,Cloudy,113,5.413623164
Rabi       ,Assam,1743.4,2322.21,0.536086957,East,Sandy,Barley,211.7532351,22.52551757,18.15,86.03,FALSE,FALSE,Rainy,84,1.591755154
Kharif     ,Assam,1743.4,7028.01,0.693333333,South,Clay,Barley,107.187717,22.04128826,18.19,86.1,FALSE,FALSE,Sunny,85,0.894279205
Rabi       ,Assam,1743.4,7439.52,0.526,East,Loam,Cotton,936.9875842,18.29628735,18.38,85.51,TRUE,FALSE,Sunny,68,6.941373542
Kharif     ,Assam,1743.4,1609.41,5.8716,West,Clay,Wheat,322.1413007,32.53779325,18.18,84.23,TRUE,FALSE,Rainy,145,3.659065489
Rabi       ,Assam,1743.4,3798.96,0.524074074,North,Clay,Wheat,469.1997648,36.00778196,18.2,85.42,TRUE,TRUE,Sunny,80,5.540942671
Kharif     ,Assam,1743.4,2779.59,0.604347826,South,Peaty,Cotton,788.8295889,33.34075057,18.7,84.98,FALSE,FALSE,Rainy,133,4.977900608
Whole Year ,Assam,1743.4,2432.76,3.02962963,East,Chalky,Barley,552.009839,30.87377896,18.24,84.67,FALSE,FALSE,Rainy,101,3.072277076
Rabi       ,Assam,1743.4,6979.83,0.645925926,West,Sandy,Cotton,898.2603209,35.76491021,18.31,83.44,TRUE,FALSE,Rainy,67,5.839201094
Whole Year ,Assam,1743.4,32279.28,7.035925926,West,Peaty,Wheat,391.4542583,20.83206198,18.4,83.65,FALSE,FALSE,Rainy,87,1.721428281
Rabi       ,Assam,1743.4,81823.17,0.538888889,East,Loam,Barley,607.3612418,32.97797432,18.22,83.45,FALSE,FALSE,Rainy,88,3.675256191
Autumn     ,Assam,1743.4,91240.38,1.268518519,East,Silt,Maize,997.7806586,30.0999556,18.37,85.48,TRUE,FALSE,Rainy,137,6.051642272
Summer     ,Assam,1743.4,129894.27,2.489615385,East,Chalky,Wheat,758.3404549,24.411903,18.28,84.85,FALSE,TRUE,Cloudy,94,4.961165788
Winter     ,Assam,1743.4,618948.33,1.797037037,North,Clay,Rice,561.2039521,21.58220881,18.35,83.52,FALSE,TRUE,Sunny,73,4.170270063
Kharif     ,Assam,1743.4,3894.33,0.594444444,East,Peaty,Soybean,870.9884517,19.4865044,18.49,83.4,FALSE,TRUE,Cloudy,110,5.126249445
Kharif     ,Assam,1743.4,1317.03,0.523913043,East,Peaty,Cotton,545.7118496,39.99148145,18.41,82.11,FALSE,FALSE,Rainy,141,3.764941712
Whole Year ,Assam,1743.4,9373.32,37.69074074,North,Clay,Barley,782.2697475,19.84355975,18.34,82.79,FALSE,FALSE,Sunny,87,4.078671109
Whole Year ,Assam,1743.4,2164.14,4.177777778,West,Sandy,Barley,228.2117289,24.84340636,18.43,85.07,FALSE,FALSE,Cloudy,85,1.881538432
Whole Year ,Assam,1743.4,1278.75,8.222307692,East,Chalky,Maize,654.6564913,32.8585807,18.43,84.12,FALSE,TRUE,Rainy,89,5.227120403
Whole Year ,Assam,1743.4,112.53,0.631304348,South,Chalky,Soybean,574.1439813,25.34259511,18.22,84.54,TRUE,TRUE,Cloudy,89,5.546405691
Whole Year ,Assam,1743.4,5097.51,0.864444444,West,Peaty,Soybean,686.5833527,34.32468349,18.38,84.63,FALSE,TRUE,Cloudy,90,6.270935666
Rabi       ,Assam,1743.4,17710.77,0.565555556,South,Peaty,Cotton,372.9916603,33.67589787,18.37,85.43,FALSE,TRUE,Sunny,63,4.563091167
Rabi       ,Assam,1743.4,13264.02,1.169615385,East,Clay,Rice,994.0755133,39.23309655,18.19,84.36,TRUE,TRUE,Rainy,149,8.388924623
Whole Year ,Andhra Pradesh,861.9,185.46,0.296666667,North,Sandy,Soybean,916.9783974,35.41488952,18.27,83.43,TRUE,TRUE,Sunny,68,8.270086144
Kharif     ,Andhra Pradesh,861.9,157956.81,0.435454545,North,Chalky,Rice,358.6710164,24.67798979,18.58,84.39,FALSE,FALSE,Cloudy,87,2.401180792
Rabi       ,Andhra Pradesh,861.9,937.53,0.455294118,North,Chalky,Wheat,375.3001097,34.56939343,18.67,84.24,FALSE,TRUE,Rainy,122,3.827159245
Kharif     ,Andhra Pradesh,861.9,10696.95,1.221764706,East,Sandy,Cotton,163.2936064,20.62816905,18.5,85.33,TRUE,FALSE,Sunny,92,2.421309475
Rabi       ,Andhra Pradesh,861.9,3546.84,1.235,East,Loam,Wheat,824.1547827,25.31533299,18.51,85.45,TRUE,FALSE,Rainy,90,6.138386277
Whole Year ,Andhra Pradesh,861.9,20493.99,35.52157895,South,Silt,Barley,997.8551993,32.01970032,17.72,85.77,FALSE,FALSE,Rainy,90,5.924864726
Whole Year ,Andhra Pradesh,861.9,45506.34,0.351538462,North,Clay,Wheat,237.6366198,31.52648451,17.54,85.76,FALSE,TRUE,Sunny,139,2.796720224
Kharif     ,Andhra Pradesh,861.9,83582.4,0.402777778,East,Loam,Cotton,269.6174238,37.87362929,17.81,84.36,TRUE,FALSE,Cloudy,129,3.443756536
Whole Year ,Andhra Pradesh,861.9,34309.11,12604.71833,West,Chalky,Soybean,147.2245384,31.67093535,17.61,84.03,FALSE,FALSE,Sunny,114,0.953790696
Whole Year ,Andhra Pradesh,861.9,4230.93,0.6025,East,Sandy,Barley,406.2117808,30.5467078,17.61,86.04,FALSE,TRUE,Sunny,119,3.361487914
Kharif     ,Andhra Pradesh,861.9,680789.67,1.548181818,East,Clay,Cotton,948.2840616,32.6949552,17.7,85.98,FALSE,FALSE,Sunny,97,4.724483737
Kharif     ,Andhra Pradesh,861.9,1556.94,0.225,West,Sandy,Barley,377.634123,37.09529929,18.09,86.02,TRUE,FALSE,Sunny,89,4.057816745
Rabi       ,Andhra Pradesh,861.9,5137.11,0.801764706,North,Peaty,Soybean,380.0342868,35.98641617,18.3,84.48,FALSE,FALSE,Cloudy,136,2.722839522
Kharif     ,Andhra Pradesh,861.9,66334.29,2.798,West,Loam,Rice,192.1890863,35.48482101,17.8,85.54,TRUE,TRUE,Sunny,138,4.440936532
Rabi       ,Andhra Pradesh,861.9,15592.83,3.100909091,North,Silt,Barley,909.3791614,37.89997365,17.94,85.16,FALSE,TRUE,Sunny,146,6.48854602
Whole Year ,Andhra Pradesh,861.9,141.57,2.136,West,Peaty,Wheat,893.5415489,34.95011816,18.03,84.92,TRUE,FALSE,Cloudy,113,6.470830059
Whole Year ,Andhra Pradesh,861.9,781.77,8.742222222,South,Chalky,Wheat,233.3462465,36.91129523,18.01,86.09,TRUE,FALSE,Cloudy,75,2.95514698
Rabi       ,Andhra Pradesh,861.9,186368.82,1.1105,North,Loam,Wheat,107.0056205,26.30346357,18.15,86.03,FALSE,FALSE,Sunny,111,0.771201918
Kharif     ,Andhra Pradesh,861.9,348695.82,1.129047619,East,Sandy,Wheat,121.4209813,17.53732073,18.19,86.1,FALSE,FALSE,Rainy,87,1.508574912
Rabi       ,Andhra Pradesh,861.9,82626.06,2.021363636,South,Clay,Barley,679.808052,33.09335627,18.38,85.51,TRUE,TRUE,Rainy,90,6.982119894
Kharif     ,Andhra Pradesh,861.9,1939.74,0.375,North,Sandy,Barley,259.812877,22.31575201,18.18,84.23,TRUE,TRUE,Sunny,128,3.593690858
Rabi       ,Andhra Pradesh,861.9,8244.39,0.345,North,Sandy,Rice,342.4828986,18.25972768,18.2,85.42,TRUE,TRUE,Cloudy,121,4.890956108
Kharif     ,Andhra Pradesh,861.9,34076.79,1.584736842,North,Loam,Wheat,442.7489929,38.3802852,18.7,84.98,FALSE,FALSE,Cloudy,133,3.130458647
Rabi       ,Andhra Pradesh,861.9,57200.55,2.3115,West,Clay,Maize,271.7697243,17.41441315,18.24,84.67,TRUE,TRUE,Rainy,131,3.507416823
Rabi       ,Andhra Pradesh,861.9,245.52,0.2,North,Peaty,Soybean,565.3746661,33.6147195,18.31,83.44,TRUE,FALSE,Cloudy,141,5.098848132
Kharif     ,Andhra Pradesh,861.9,175203.27,3.427727273,East,Sandy,Soybean,126.1783779,22.21969605,18.4,83.65,FALSE,TRUE,Rainy,77,2.750534647
Rabi       ,Andhra Pradesh,861.9,109825.65,6.432272727,North,Sandy,Cotton,735.7078424,28.73444464,18.22,83.45,TRUE,TRUE,Cloudy,112,7.099717324
Kharif     ,Andhra Pradesh,861.9,8500.8,5.77625,East,Chalky,Maize,110.1936703,25.32104481,18.37,85.48,FALSE,TRUE,Cloudy,101,2.982795872
Kharif     ,Andhra Pradesh,861.9,50189.04,0.537727273,East,Clay,Cotton,173.6475613,16.18123709,18.28,84.85,TRUE,TRUE,Sunny,139,3.18429295
Rabi       ,Andhra Pradesh,861.9,43354.08,0.6295,East,Silt,Maize,162.5875682,28.75616054,18.35,83.52,TRUE,TRUE,Rainy,79,3.585476189
Kharif     ,Andhra Pradesh,861.9,2270.4,0.28,South,Chalky,Cotton,600.3058968,32.99891995,18.49,83.4,TRUE,TRUE,Cloudy,84,7.043005143
Kharif     ,Andhra Pradesh,861.9,13072.29,13.41823529,East,Chalky,Cotton,769.0801888,22.2424743,18.41,82.11,FALSE,TRUE,Sunny,72,5.783624105
Rabi       ,Andhra Pradesh,861.9,5734.74,24.52894737,West,Clay,Soybean,227.676478,15.13026482,18.34,82.79,FALSE,FALSE,Sunny,141,1.465707597
Rabi       ,Andhra Pradesh,861.9,1932.48,0.625,North,Loam,Maize,387.8370619,22.24916596,18.43,85.07,FALSE,FALSE,Rainy,127,2.319807694
Kharif     ,Andhra Pradesh,861.9,1141.47,0.487142857,West,Sandy,Cotton,132.4805808,22.81092544,18.43,84.12,FALSE,FALSE,Sunny,131,1.743437031
Whole Year ,Andhra Pradesh,861.9,1998.81,10.52428571,South,Chalky,Rice,951.5711203,15.47354744,18.22,84.54,FALSE,TRUE,Sunny,61,6.052087084
Kharif     ,Andhra Pradesh,861.9,12228.81,0.993846154,North,Clay,Cotton,841.9995103,32.10832926,18.38,84.63,FALSE,FALSE,Cloudy,79,5.502563876
Rabi       ,Andhra Pradesh,861.9,1775.07,1.690909091,East,Silt,Rice,472.5008567,33.74252504,18.37,85.43,TRUE,FALSE,Sunny,112,4.171984954
Rabi       ,Andhra Pradesh,861.9,2183.61,2.444285714,North,Silt,Cotton,246.2222963,39.9228687,18.19,84.36,TRUE,TRUE,Sunny,119,4.901530065
Kharif     ,Andhra Pradesh,861.9,948403.17,2.909090909,South,Chalky,Maize,851.2979573,35.78249844,18.27,83.43,TRUE,TRUE,Rainy,62,8.245149858
Rabi       ,Andhra Pradesh,861.9,403226.67,3.031818182,South,Peaty,Cotton,229.4018461,19.55825087,18.58,84.39,FALSE,FALSE,Cloudy,85,1.053821611
Rabi       ,Andhra Pradesh,861.9,3326.4,0.73125,West,Chalky,Barley,770.7320481,34.4410313,18.67,84.24,TRUE,TRUE,Sunny,128,7.331050818
Kharif     ,Andhra Pradesh,861.9,10948.74,0.270526316,North,Chalky,Rice,269.264643,22.23246142,18.5,85.33,FALSE,FALSE,Cloudy,138,1.080606729
Rabi       ,Andhra Pradesh,861.9,12973.95,0.312105263,North,Sandy,Soybean,567.3838718,26.0879188,18.51,85.45,FALSE,TRUE,Rainy,95,4.229549419
Kharif     ,Andhra Pradesh,861.9,8959.5,0.723636364,North,Silt,Barley,435.8474624,21.46010193,17.72,85.77,TRUE,FALSE,Rainy,87,4.117236684
Rabi       ,Andhra Pradesh,861.9,607.53,0.745,West,Loam,Cotton,756.7144448,24.84089159,17.54,85.76,FALSE,FALSE,Rainy,133,3.974745918
Kharif     ,Andhra Pradesh,861.9,43061.04,1.570769231,South,Peaty,Barley,406.9275804,24.26630128,17.81,84.36,TRUE,TRUE,Cloudy,125,5.446323563
Whole Year ,Andhra Pradesh,861.9,67332.54,86.0155,East,Chalky,Barley,882.2983681,20.644006,17.61,84.03,TRUE,TRUE,Sunny,99,7.192122694
Whole Year ,Andhra Pradesh,861.9,51986.55,0.978181818,North,Chalky,Rice,314.245732,17.89085351,17.61,86.04,TRUE,TRUE,Cloudy,136,4.915727699
Whole Year ,Andhra Pradesh,861.9,323.4,12.91733333,West,Silt,Barley,436.9352633,19.28351514,17.7,85.98,TRUE,TRUE,Sunny,91,4.895271435
Whole Year ,Andhra Pradesh,861.9,4221.69,9.755,West,Silt,Rice,711.0808108,38.59748707,18.09,86.02,FALSE,FALSE,Sunny,91,5.301402649
Whole Year ,Andhra Pradesh,861.9,70445.76,4.583953488,East,Chalky,Cotton,850.8534353,24.02999524,18.3,84.48,TRUE,TRUE,Rainy,84,7.084236396
Kharif     ,Andhra Pradesh,861.9,20648.43,0.598095238,South,Silt,Soybean,464.5668039,33.39877396,17.8,85.54,TRUE,TRUE,Rainy,121,5.246095644
Rabi       ,Andhra Pradesh,861.9,157455.87,0.5575,North,Loam,Soybean,234.5218994,18.59212879,17.94,85.16,TRUE,FALSE,Rainy,96,3.846208015
Rabi       ,Andhra Pradesh,861.9,2724.15,1.306666667,North,Clay,Maize,808.4515889,36.04979999,18.03,84.92,TRUE,TRUE,Sunny,121,7.976327327
Kharif     ,Andhra Pradesh,861.9,16241.28,18.69818182,West,Peaty,Barley,703.5026761,34.30429002,18.01,86.09,FALSE,TRUE,Sunny,74,5.37036254
Rabi       ,Andhra Pradesh,861.9,2299.11,5.8575,South,Clay,Barley,620.3253995,20.19507914,18.15,86.03,TRUE,FALSE,Rainy,77,4.778709695
Whole Year ,Karnataka,1178.986364,71335.44,8.221904762,North,Chalky,Maize,154.6745059,19.17721433,18.19,86.1,FALSE,TRUE,Cloudy,94,1.823717836
Kharif     ,Karnataka,1178.986364,253248.27,0.52,East,Chalky,Cotton,515.3222724,37.81775492,18.38,85.51,TRUE,TRUE,Sunny,117,5.929274287
Kharif     ,Karnataka,1178.986364,92961.33,0.802352941,South,Loam,Soybean,305.5777412,17.22936986,18.18,84.23,TRUE,TRUE,Cloudy,147,4.693563029
Rabi       ,Karnataka,1178.986364,445.5,0.98,South,Silt,Wheat,255.1179792,29.97639193,18.2,85.42,FALSE,TRUE,Rainy,108,3.700099588
Summer     ,Karnataka,1178.986364,1053.69,1.013333333,West,Sandy,Rice,133.4420668,29.54618858,18.7,84.98,TRUE,FALSE,Rainy,123,3.27375153
Whole Year ,Karnataka,1178.986364,22854.48,25.06172414,West,Silt,Maize,140.4303569,21.80803858,18.24,84.67,FALSE,TRUE,Cloudy,81,1.89210801
Whole Year ,Karnataka,1178.986364,7161.33,0.296923077,North,Peaty,Cotton,355.5815312,23.9572538,18.31,83.44,FALSE,FALSE,Sunny,133,1.555670583
Whole Year ,Karnataka,1178.986364,6389.79,0.093333333,West,Silt,Rice,288.3985483,23.51042052,18.4,83.65,TRUE,FALSE,Sunny,106,3.526724097
Whole Year ,Karnataka,1178.986364,20844.45,0.864090909,South,Sandy,Soybean,713.9604467,20.30896004,18.22,83.45,TRUE,TRUE,Sunny,116,5.90551397
Kharif     ,Karnataka,1178.986364,5373.06,0.857916667,North,Loam,Maize,621.2085804,28.87189643,18.37,85.48,TRUE,FALSE,Sunny,102,5.228824729
Whole Year ,Karnataka,1178.986364,146438.49,9984.488333,North,Peaty,Barley,538.5486289,15.86022703,18.28,84.85,TRUE,FALSE,Sunny,103,4.531771378
Whole Year ,Karnataka,1178.986364,1003.86,0.406,South,Sandy,Soybean,237.0637338,34.09446018,18.35,83.52,TRUE,FALSE,Cloudy,114,3.273351994
Kharif     ,Karnataka,1178.986364,164427.12,2.251818182,North,Silt,Rice,251.304857,19.98933946,18.49,83.4,FALSE,FALSE,Cloudy,146,1.72268222
Rabi       ,Karnataka,1178.986364,23587.08,1.402857143,East,Peaty,Rice,854.6279479,26.5583737,18.41,82.11,FALSE,FALSE,Cloudy,78,4.81882188
Kharif     ,Karnataka,1178.986364,22469.37,0.55,East,Clay,Cotton,656.7334395,22.92384886,18.34,82.79,TRUE,TRUE,Cloudy,129,6.8889134
Rabi       ,Karnataka,1178.986364,6697.02,0.353571429,North,Loam,Barley,893.4220182,20.72736215,18.43,85.07,TRUE,TRUE,Sunny,132,7.281095429
Kharif     ,Karnataka,1178.986364,29111.94,0.973448276,West,Sandy,Wheat,141.6546326,19.420544,18.43,84.12,FALSE,FALSE,Rainy,141,1.69516023
Rabi       ,Karnataka,1178.986364,2157.21,2.375714286,East,Loam,Cotton,557.7256673,31.13398336,18.22,84.54,FALSE,TRUE,Cloudy,73,4.850799725
Summer     ,Karnataka,1178.986364,1868.46,3.4856,North,Chalky,Soybean,693.2713351,17.42027342,18.38,84.63,TRUE,TRUE,Sunny,84,6.031865979
Whole Year ,Karnataka,1178.986364,1683,1.326666667,East,Sandy,Soybean,187.8793303,22.85330861,18.37,85.43,TRUE,TRUE,Cloudy,92,3.899615319
Whole Year ,Karnataka,1178.986364,9698.04,3.161666667,West,Clay,Barley,897.8637123,38.5610078,18.19,84.36,FALSE,TRUE,Rainy,134,5.538279926
Rabi       ,Karnataka,1178.986364,264879.78,0.4464,South,Silt,Soybean,627.1506042,38.75292965,18.27,83.43,FALSE,TRUE,Sunny,137,4.393836691
Kharif     ,Karnataka,1178.986364,168249.84,0.694444444,North,Clay,Cotton,109.4041168,18.22880219,18.58,84.39,FALSE,TRUE,Rainy,87,1.340760522
Rabi       ,Karnataka,1178.986364,55372.68,0.968928571,North,Chalky,Rice,992.721466,31.16956881,18.67,84.24,TRUE,TRUE,Rainy,87,8.390341011
Kharif     ,Karnataka,1178.986364,21654.6,0.581538462,North,Clay,Cotton,277.7607312,16.69248069,18.5,85.33,FALSE,FALSE,Rainy,87,2.2184589
Rabi       ,Karnataka,1178.986364,37509.45,0.464285714,North,Clay,Barley,607.5062877,31.49255924,18.51,85.45,TRUE,FALSE,Rainy,117,5.93830558
Kharif     ,Karnataka,1178.986364,62096.1,1.361428571,North,Chalky,Rice,638.134518,33.12580277,17.72,85.77,TRUE,TRUE,Rainy,77,6.78028526
Rabi       ,Karnataka,1178.986364,308495.88,0.805882353,North,Chalky,Rice,959.095723,31.96521302,17.54,85.76,FALSE,FALSE,Rainy,131,6.149570509
Summer     ,Karnataka,1178.986364,3470.61,1.832307692,West,Loam,Barley,272.910061,36.99400812,17.81,84.36,TRUE,FALSE,Cloudy,143,3.209925535
Rabi       ,Karnataka,1178.986364,2812.26,0.29,South,Silt,Rice,458.4492515,17.78863041,17.61,84.03,TRUE,FALSE,Sunny,131,3.862431481
Kharif     ,Karnataka,1178.986364,398154.24,2.855357143,West,Chalky,Wheat,518.2721678,22.88029307,17.61,86.04,TRUE,FALSE,Rainy,112,4.790910801
Rabi       ,Karnataka,1178.986364,36749.46,3.0375,West,Peaty,Soybean,975.7882765,31.69617506,17.7,85.98,FALSE,FALSE,Rainy,64,5.667805981
Summer     ,Karnataka,1178.986364,10393.02,3.159655172,South,Loam,Barley,841.1090496,39.42955929,18.09,86.02,TRUE,FALSE,Cloudy,86,7.031077795
Whole Year ,Karnataka,1178.986364,272.25,1.202857143,West,Silt,Cotton,670.4874732,27.29247031,18.3,84.48,FALSE,TRUE,Sunny,115,4.640696876
Kharif     ,Karnataka,1178.986364,93566.88,0.259166667,East,Peaty,Maize,363.4936234,18.07524556,17.8,85.54,FALSE,TRUE,Rainy,141,2.970565619
Rabi       ,Karnataka,1178.986364,2878.59,0.337647059,West,Chalky,Rice,976.2071742,17.9242182,17.94,85.16,TRUE,TRUE,Cloudy,127,8.995939977
Kharif     ,Karnataka,1178.986364,6120.51,0.268846154,North,Peaty,Rice,102.6246841,21.25290489,18.03,84.92,FALSE,TRUE,Cloudy,119,2.602518252
Kharif     ,Karnataka,1178.986364,45058.2,5.5184,East,Sandy,Maize,417.1392527,24.39026301,18.01,86.09,FALSE,FALSE,Sunny,149,3.071276228
Rabi       ,Karnataka,1178.986364,4519.35,8.495454545,East,Silt,Soybean,467.3160205,25.28353588,18.15,86.03,TRUE,FALSE,Rainy,68,3.902358294
